Encuesta de Satisfacción y Compromiso de Colaboradores

Q1. ¿Cuál es su función en el trabajo?
Answer Choices,Response Percent,Responses
Colaborador individual,12.33%,18
Director,0.0%,0
Gerente,2.74%,4
Supervisor/Coordinador/Jefe,13.01%,19
Administrativo/a,21.92%,32
Operativo/a,22.6%,33
Técnico/a,4.11%,6
Auxiliar,2.05%,3
Conductor/Mensajero,2.05%,3
Líder de equipo,4.11%,6
Gerente,0.68%,1
Gerente de nivel alto,0.0%,0
Gerente regional,0.0%,0
Vicepresidente,0.0%,0
Gerente de mando medio,0.0%,0
Socio/a,0.68%,1
Propietario/a,0.0%,0
Voluntario/a,0.0%,0
Practicante,0.68%,1
Administrativo/a,13.01%,19
,Answered,146
,Skipped,3


Q2. ¿En qué gerencia trabaja usted?
Answer Choices,Response Percent,Responses
Contabilidad,4.32%,6
Administrativo,2.16%,3
Servicio al cliente,2.88%,4
Mercadotecnia,0.0%,0
Operaciones,5.76%,8
Recursos humanos,1.44%,2
Ventas,12.23%,17
Finanzas,0.0%,0
Administrativa,6.47%,9
Contabilidad,15.11%,21
Desarrollo Organizacional,10.79%,15
Operaciones,33.81%,47
Tecnología,5.04%,7
Legal,0.0%,0
Sistemas,0.0%,0
Ingeniería,0.0%,0
Internacional,0.0%,0
,Answered,139
,Skipped,10


Q3. Estoy satisfecho(a) con mis oportunidades de crecimiento profesional.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.76%,1
En desacuerdo,5.3%,7
Neutral/Ni de acuerdo ni en desacuerdo,28.79%,38
De acuerdo,50.0%,66
Totalmente de acuerdo,15.15%,20
,Answered,132
,Skipped,17


Q4. Estoy satisfecho(a) con las oportunidades de desarrollo profesional que se me ofrecen.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.76%,1
En desacuerdo,6.06%,8
Neutral/Ni de acuerdo ni en desacuerdo,30.3%,40
De acuerdo,51.52%,68
Totalmente de acuerdo,11.36%,15
,Answered,132
,Skipped,17


Q5. Mi organización está comprometida con mi desarrollo profesional.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.75%,1
En desacuerdo,2.26%,3
Neutral/Ni de acuerdo ni en desacuerdo,33.08%,44
De acuerdo,53.38%,71
Totalmente de acuerdo,10.53%,14
,Answered,133
,Skipped,16


Q6. Estoy satisfecho(a) con la formación proporcionada por mi organización.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.75%,1
En desacuerdo,2.99%,4
Neutral/Ni de acuerdo ni en desacuerdo,38.81%,52
De acuerdo,47.76%,64
Totalmente de acuerdo,9.7%,13
,Answered,134
,Skipped,15


Q7. Estoy satisfecho(a) con las oportunidades que se me presentan para aplicar mis habilidades y experiencia.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.0%,0
En desacuerdo,2.99%,4
Neutral/Ni de acuerdo ni en desacuerdo,24.63%,33
De acuerdo,55.97%,75
Totalmente de acuerdo,16.42%,22
,Answered,134
,Skipped,15


Q8. Estoy satisfecho(a) con la forma en la que mi organización invierte en mi capacitación y educación.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,2.27%,3
En desacuerdo,7.58%,10
Neutral/Ni de acuerdo ni en desacuerdo,33.33%,44
De acuerdo,43.94%,58
Totalmente de acuerdo,12.88%,17
,Answered,132
,Skipped,17


Q9. Me siento inspirado(a) a cumplir con mis objetivos en el trabajo.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,2.31%,3
En desacuerdo,4.62%,6
Neutral/Ni de acuerdo ni en desacuerdo,22.31%,29
De acuerdo,49.23%,64
Totalmente de acuerdo,21.54%,28
,Answered,130
,Skipped,19


